Địa chỉ,Tên Nhà,Số tầng,Diện tích đất (m2),Giá,Hướng
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Trần Duy Hưng 30m, diện tích 54m² x 4 tầng, mặt tiền 6m",4 tầng,54m²,10.5 tỷ,Tây Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Đình Hoàn 20m, diện tích 81.59m² x 4 tầng, mặt tiền 3.5m",4 tầng,81.59m²,13.8 tỷ,Đông Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Phạm Văn Đồng 100m, diện tích 30m² x 5 tầng, mặt tiền 4.83m",5 tầng,30m²,5.86 tỷ,Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Cầu Giấy, diện tích 28.41m² x 5 tầng, mặt tiền 3.25m",5 tầng,28.41m²,19.5 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Trung Kính, diện tích 67.3m² x 1 tầng, mặt tiền 6.27m",1 tầng,67.3m²,116 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Khánh Toàn 150m, diện tích 79.9m² x 6 tầng, mặt tiền 4.2m",6 tầng,79.9m²,21 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Hạ Yên Quyết 30m, diện tích 44m² x 4 tầng, mặt tiền 3.6m",4 tầng,44m²,15.7 tỷ,Đông Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Nguyễn Khang, diện tích 44.3m² x 1 tầng, mặt tiền 3.01m",1 tầng,44.3m²,18.9 tỷ,Đông Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Phùng Chí Kiên 20m, diện tích 47.6m² x 8 tầng, mặt tiền 4.27m",8 tầng,47.6m²,16.8 tỷ,Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Hồ Tùng Mậu 120m, diện tích 40.2m² x 6 tầng, mặt tiền 4.4m",6 tầng,40.2m²,10.2 tỷ,Tây Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Trần Vỹ 20m, diện tích 24.66m² x 5 tầng, mặt tiền 3m",5 tầng,24.66m²,7.9 tỷ,Tây
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Cầu Giấy 80m, diện tích 46.82m² x 5 tầng, mặt tiền 3.34m",5 tầng,46.82m²,6.9 tỷ,Đông Nam
