Địa chỉ,Tên Nhà,Số tầng,Diện tích (m2),Giá,Hướng
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Đại La 150m, diện tích 36.3m² x 5 tầng, mặt tiền 2.97m",5 tầng,36.3m²,7.6 tỷ,Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Trần Khát Chân 4m, diện tích 34.3m² x 4 tầng, mặt tiền 2.84m",4 tầng,34.3m²,10 tỷ,Đông Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Đình Chiểu 5m, diện tích 13.6m² x 2 tầng, mặt tiền 3.24m",2 tầng,13.6m²,4.4 tỷ,Đông Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Nguyễn Công Trứ, diện tích 19.8m² x 5 tầng, mặt tiền 2.68m",5 tầng,19.8m²,7.5 tỷ,Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Lò Đúc, diện tích 79.2m² x 4 tầng, mặt tiền 4.15m",4 tầng,79.2m²,51.4 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Bạch Mai, diện tích 122.3m² x 3 tầng, mặt tiền 3.29m",3 tầng,122.3m²,43 tỷ,Tây
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Đường từ Minh Khai đến chân cầu Vĩnh Tuy 30m, diện tích 54.9m² x 5 tầng, mặt tiền 3.76m",5 tầng,54.9m²,11 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Bạch Mai 100m, diện tích 22.9m² x 4 tầng, mặt tiền 3.97m",4 tầng,22.9m²,3.95 tỷ,Đông Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Lê Thanh Nghị 12m, diện tích 41.29m² x 1 tầng, nhà 2 mặt tiền",1 tầng,41.29m²,9.9 tỷ,"Đông Bắc, Đông Nam"
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Trương Định, diện tích 33.3m² x 3 tầng, nhà 2 mặt tiền",3 tầng,33.3m²,12 tỷ,"Tây Bắc, Tây Nam"
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Trần Khát Chân 6m, diện tích 40m² x 5 tầng, mặt tiền 3.6m",5 tầng,40m²,11 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Hàng Chuối, diện tích 26.75m² x 2 tầng, mặt tiền 4m",2 tầng,26.75m²,7.4 tỷ,Đông Nam
